Benchmark                                         (fileName)  (zstdLevel)   Mode  Cnt     Score     Error  Units
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            1  thrpt    5   527.451 ±   2.774  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            2  thrpt    5   562.528 ±   3.030  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            3  thrpt    5   600.676 ±   4.467  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            4  thrpt    5   606.821 ±   1.935  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            5  thrpt    5   600.341 ±   2.382  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            6  thrpt    5   626.430 ±   2.438  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            7  thrpt    5   635.513 ±   2.100  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            8  thrpt    5   647.302 ±   2.037  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json            9  thrpt    5   652.869 ±   2.140  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           10  thrpt    5   657.815 ±   1.999  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           11  thrpt    5   662.209 ±   0.949  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           12  thrpt    5   661.055 ±   2.901  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           13  thrpt    5   660.447 ±   1.231  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           14  thrpt    5   664.341 ±   1.192  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           15  thrpt    5   669.602 ±   0.948  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           16  thrpt    5   653.438 ±   1.719  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           17  thrpt    5   638.141 ±   3.925  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           18  thrpt    5   628.839 ±   5.224  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           19  thrpt    5   627.832 ±   2.493  ops/s
ZstdDecompressBenchmark.decompressSmileJson  /gsoc-2018.json           20  thrpt    5   627.463 ±   2.904  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            1  thrpt    5  4012.044 ±  15.261  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            2  thrpt    5  3975.989 ±  42.550  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            3  thrpt    5  3999.723 ±  18.746  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            4  thrpt    5  3988.790 ±  20.657  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            5  thrpt    5  4290.909 ±   5.897  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            6  thrpt    5  4539.135 ±  12.693  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            7  thrpt    5  4647.564 ±  19.070  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            8  thrpt    5  4750.110 ±  16.651  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json            9  thrpt    5  4741.414 ±  21.151  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           10  thrpt    5  4794.403 ±  44.560  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           11  thrpt    5  4841.689 ±  44.022  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           12  thrpt    5  4810.150 ±  23.917  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           13  thrpt    5  4749.575 ±  36.123  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           14  thrpt    5  4826.774 ±   3.613  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           15  thrpt    5  4909.591 ±  12.403  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           16  thrpt    5  4866.938 ±  17.135  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           17  thrpt    5  4729.452 ±  31.592  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           18  thrpt    5  4464.384 ±  20.441  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           19  thrpt    5  4487.103 ±  24.399  ops/s
ZstdDecompressBenchmark.decompressPlainJson    /twitter.json           20  thrpt    5  4489.418 ±  19.652  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            1  thrpt    5  9764.652 ±  13.991  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            2  thrpt    5  9466.349 ±  42.950  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            3  thrpt    5  8624.155 ±  35.261  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            4  thrpt    5  9532.346 ±  41.836  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            5  thrpt    5  9587.432 ±  49.679  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            6  thrpt    5  9936.138 ±  42.237  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            7  thrpt    5  9137.186 ±  23.773  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            8  thrpt    5  9218.865 ±  29.561  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json            9  thrpt    5  9273.157 ±  53.112  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           10  thrpt    5  9310.025 ±  30.424  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           11  thrpt    5  9222.784 ±  26.339  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           12  thrpt    5  9300.974 ±  28.062  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           13  thrpt    5  8807.053 ±  38.104  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           14  thrpt    5  7953.221 ±  42.294  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           15  thrpt    5  8029.296 ±  23.460  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           16  thrpt    5  7606.225 ± 434.028  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           17  thrpt    5  7782.541 ±  29.959  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           18  thrpt    5  7847.911 ±  28.847  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           19  thrpt    5  7811.486 ±  31.535  ops/s
ZstdDecompressBenchmark.decompressSmileJson    /twitter.json           20  thrpt    5  7807.355 ±  31.588  ops/s
